Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,Matches,-9999,Starts_playing,Subs,GA90,UsageGroup
565,Juan Manuel Sanabria,DF,uy Uruguay,26,1.mx Atlético San Luis,2000,3,2,204,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,f1d74479,2,1,0.0,Starter-dominant
154,Brian Brobbey,FW,nl Netherlands,24,1.eng Sunderland,2002,4,3,223,2.5,3,0,3,3,0,0,0,0,1.21,0.0,1.21,1.21,1.21,Matches,4c184730,3,1,1.2,Starter-dominant
86,Rustam Ashurmatov,DF,uz Uzbekistan,29,1.ir Esteghlal,1996,3,3,256,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,a0ecd397,3,0,0.0,Starter-dominant
521,Richie Laryea,DF,ca Canada,31,1.us Toronto FC,1995,5,5,429,4.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,276fdbe4,5,0,0.0,Starter-dominant
890,Josip Stanišić,DFMF,hr Croatia,26,1.de Bayern Munich,2000,4,4,360,4.0,0,1,1,0,0,0,0,0,0.0,0.25,0.25,0.0,0.25,Matches,7ed08d5c,4,0,0.25,Starter-dominant
913,Alexander Sørloth,FW,no Norway,30,1.es Atlético Madrid,1995,5,5,337,3.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e92cd3f7,5,0,0.0,Starter-dominant
611,Gideon Mensah,DF,gh Ghana,27,1.fr Auxerre,1998,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,9bdd8118,4,0,0.0,Starter-dominant
647,Daniel Muñoz,DF,co Colombia,30,1.eng Crystal Palace,1996,5,4,394,4.4,2,0,2,2,0,0,0,0,0.46,0.0,0.46,0.46,0.46,Matches,778ef829,4,1,0.45454545454545453,Starter-dominant
698,Jerome Opoku,DF,gh Ghana,27,1.tr Başakşehir,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,091d6ee5,3,0,0.0,Starter-dominant
151,Michael Boxall,DF,nz New Zealand,37,1.us Minnesota Utd,1988,3,2,207,2.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,6bfa0d3a,2,1,0.0,Starter-dominant
362,Idrissa Gueye,MF,sn Senegal,36,1.eng Everton,1989,4,4,361,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,72c812f3,4,0,0.0,Starter-dominant
404,Torbjørn Heggem,DF,no Norway,27,1.it Bologna,1999,5,5,443,4.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,834fea76,5,0,0.0,Starter-dominant
487,Bilal El Khannouss,MFFW,ma Morocco,22,1.de Stuttgart,2004,6,6,461,5.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,f7042636,6,0,0.0,Starter-dominant
854,Marvin Senaya,DF,gh Ghana,25,1.fr Auxerre,2001,4,4,278,3.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,1d383c10,4,0,0.0,Starter-dominant
136,Alexander Bernhardsson,MF,se Sweden,27,2.de Holstein Kiel,1998,3,3,217,2.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,dea1d183,3,0,0.0,Starter-dominant
227,Jonathan David,FW,ca Canada,26,1.it Juventus,2000,5,5,420,4.7,3,0,3,3,0,0,1,0,0.64,0.0,0.64,0.64,0.64,Matches,ce50fd99,5,0,0.6382978723404255,Starter-dominant
522,Mohanad Lasheen,MF,eg Egypt,30,,1996,4,4,359,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,Matches,8c041c7d,4,0,0.0,Starter-dominant
1019,Caleb Yirenkyi,MF,gh Ghana,20,1.dk Nordsjælland,2006,4,3,264,2.9,1,0,1,1,0,0,2,0,0.34,0.0,0.34,0.34,0.34,Matches,d40ce7b0,3,1,0.3448275862068966,Starter-dominant
742,Pedro Porro,DF,es Spain,26,1.eng Tottenham,1999,6,6,563,6.3,2,0,2,2,0,0,0,0,0.32,0.0,0.32,0.32,0.32,Matches,27d0a506,6,0,0.31746031746031744,Starter-dominant
195,Tahith Chong,MF,cw Curaçao,26,2.eng Sheffield United,1999,3,3,247,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,2696b6a9,3,0,0.0,Starter-dominant
159,Firas Al-Buraikan,FW,sa Saudi Arabia,26,1.sa Al-Ahli,2000,3,3,238,2.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,ac717a23,3,0,0.0,Starter-dominant
270,Guéla Doué,DF,ci Côte d'Ivoire,23,1.fr Strasbourg,2002,4,3,277,3.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,b4ef3fb5,3,1,0.0,Starter-dominant
461,Edmilson Junior,MFFW,qa Qatar,31,1.qa Al Duhail SC,1994,3,3,210,2.3,0,1,1,0,0,0,0,0,0.0,0.43,0.43,0.0,0.43,Matches,620764f4,3,0,0.4347826086956522,Starter-dominant
914,Musa Al-Taamari,FW,jo Jordan,29,1.fr Rennes,1997,3,2,215,2.4,1,1,2,1,0,0,0,0,0.42,0.42,0.84,0.42,0.84,Matches,f15f8b2b,2,1,0.8333333333333334,Starter-dominant
257,Luis Díaz,FWMF,co Colombia,29,1.de Bayern Munich,1997,5,5,478,5.3,1,1,2,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,Matches,4a1a9578,5,0,0.37735849056603776,Starter-dominant
709,Willian Pacho,DF,ec Ecuador,24,1.fr PSG,2001,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,ecbe2839,4,0,0.0,Starter-dominant
485,Shoja' Khalilzadeh,DF,ir IR Iran,37,1.ir Tractor,1989,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,0aed29f1,3,0,0.0,Starter-dominant
164,Jovane Cabral,FW,cv Cabo Verde,28,1.pt Estrela,1998,2,2,139,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,Matches,e34e086c,2,0,0.0,Starter-dominant
474,Lee Kang-in,FW,kr Korea Republic,25,1.fr PSG,2001,3,3,270,3.0,0,1,1,0,0,0,1,0,0.0,0.33,0.33,0.0,0.33,Matches,8455ad90,3,0,0.3333333333333333,Starter-dominant
819,Mohamed Salah,FWMF,eg Egypt,33,1.eng Liverpool,1992,5,5,425,4.7,1,2,3,1,0,0,0,0,0.21,0.42,0.64,0.21,0.64,Matches,e342ad68,5,0,0.6382978723404255,Starter-dominant
530,Erik Lira,MF,mx Mexico,26,1.mx Cruz Azul,2000,4,4,345,3.8,0,1,1,0,0,0,0,0,0.0,0.26,0.26,0.0,0.26,Matches,7b2c24ed,4,0,0.2631578947368421,Starter-dominant
358,Gabriel Gudmundsson,MFDF,se Sweden,27,1.eng Leeds United,1999,4,4,330,3.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,Matches,d5d22a58,4,0,0.0,Starter-dominant
