Player,Squad,90s,CrdY,CrdR,Int,TklW,Pos,Min,DefensiveActions,DefensiveActions90,TotalCards,CardRate90,DefensivePressureGroup
Odilon Kossounou,ci Côte d'Ivoire,3.0,0,0,3,3,DF,272,6,2.0,0,0.0,Higher defensive activity
Giuliano Simeone,ar Argentina,2.1,0,0,1,3,FW,192,4,1.9047619047619047,0,0.0,Higher defensive activity
Lee Jae-sung,kr Korea Republic,1.3,0,0,2,3,FW,117,5,3.846153846153846,0,0.0,Higher defensive activity
Nicolás Otamendi,ar Argentina,2.7,0,0,6,2,DF,247,8,2.962962962962963,0,0.0,Higher defensive activity
Ricardo Adé,ht Haiti,3.0,0,0,5,2,DF,270,7,2.3333333333333335,0,0.0,Higher defensive activity
Assim Madibo,qa Qatar,1.5,0,1,4,1,MF,131,5,3.3333333333333335,1,0.6666666666666666,Higher defensive activity
Deveron Fonville,cw Curaçao,2.7,0,0,5,3,DF,241,8,2.962962962962963,0,0.0,Higher defensive activity
Rodrigo De Paul,ar Argentina,5.5,1,0,6,4,MF,491,10,1.8181818181818181,1,0.18181818181818182,Higher defensive activity
Gonzalo Montiel,ar Argentina,2.1,1,0,3,3,DF,192,6,2.857142857142857,1,0.47619047619047616,Higher defensive activity
Luc De Fougerolles,ca Canada,4.1,2,0,2,6,DF,372,8,1.9512195121951221,2,0.48780487804878053,Higher defensive activity
Sherel Floranus,cw Curaçao,3.0,0,0,4,6,DF,270,10,3.3333333333333335,0,0.0,Higher defensive activity
Ricardo Rodríguez,ch Switzerland,5.7,0,0,4,7,DF,517,11,1.9298245614035088,0,0.0,Higher defensive activity
Lukáš Provod,cz Czechia,1.4,0,0,1,3,FW,122,4,2.857142857142857,0,0.0,Higher defensive activity
Pedri,es Spain,5.5,1,0,10,8,MF,499,18,3.272727272727273,1,0.18181818181818182,Higher defensive activity
Aïssa Mandi,dz Algeria,4.0,0,0,4,3,DF,360,7,1.75,0,0.0,Higher defensive activity
Lucas Paquetá,br Brazil,2.6,0,0,5,4,MF,233,9,3.4615384615384612,0,0.0,Higher defensive activity
Stephen Eustáquio,ca Canada,4.4,0,0,3,5,MF,392,8,1.8181818181818181,0,0.0,Higher defensive activity
Silvan Widmer,ch Switzerland,1.9,0,0,1,4,DF,175,5,2.6315789473684212,0,0.0,Higher defensive activity
Kenny McLean,sct Scotland,1.3,1,0,2,1,MF,118,3,2.3076923076923075,1,0.7692307692307692,Higher defensive activity
Frenkie de Jong,nl Netherlands,3.6,0,0,8,7,MF,328,15,4.166666666666667,0,0.0,Higher defensive activity
Achraf Hakimi,ma Morocco,6.3,1,0,5,10,DF,570,15,2.380952380952381,1,0.15873015873015872,Higher defensive activity
Gonzalo Plata,ec Ecuador,4.0,1,0,2,5,FW,360,7,1.75,1,0.25,Higher defensive activity
Agustín Canobbio,uy Uruguay,2.5,0,1,2,3,FW,224,5,2.0,1,0.4,Higher defensive activity
Andrés Andrade Cedeño,pa Panama,3.0,1,0,3,3,DF,270,6,2.0,1,0.3333333333333333,Higher defensive activity
Kamaldeen Sulemana,gh Ghana,1.4,0,0,1,2,MFFW,127,3,2.142857142857143,0,0.0,Higher defensive activity
Teboho Mokoena,za South Africa,3.0,2,0,5,3,MF,270,8,2.6666666666666665,2,0.6666666666666666,Higher defensive activity
Kaishū Sano,jp Japan,3.0,1,0,4,2,MF,270,6,2.0,1,0.3333333333333333,Higher defensive activity
Daniel Svensson,se Sweden,1.1,0,0,1,2,DF,98,3,2.727272727272727,0,0.0,Higher defensive activity
Yukinari Sugawara,jp Japan,1.6,0,0,0,3,MF,148,3,1.875,0,0.0,Higher defensive activity
Willian Pacho,ec Ecuador,4.0,0,0,8,2,DF,360,10,2.5,0,0.0,Higher defensive activity
Karim Hafez,eg Egypt,1.9,0,0,3,1,DF,172,4,2.1052631578947367,0,0.0,Higher defensive activity
Nico Schlotterbeck,de Germany,1.5,0,0,3,2,DF,135,5,3.3333333333333335,0,0.0,Higher defensive activity
Tyler Adams,us USA,3.8,1,0,8,5,MF,341,13,3.4210526315789473,1,0.2631578947368421,Higher defensive activity
Deroy Duarte,cv Cabo Verde,2.9,0,0,6,5,MF,264,11,3.793103448275862,0,0.0,Higher defensive activity
Nabil Bentaleb,dz Algeria,3.2,0,0,3,4,MF,285,7,2.1875,0,0.0,Higher defensive activity
Tomáš Holeš,cz Czechia,1.7,0,0,4,3,DF,153,7,4.11764705882353,0,0.0,Higher defensive activity
Saleh Hardani,ir IR Iran,1.0,0,0,2,2,DF,90,4,4.0,0,0.0,Higher defensive activity
Ahmed Fatouh,eg Egypt,3.0,1,0,4,5,DF,267,9,3.0,1,0.3333333333333333,Higher defensive activity
João Félix,pt Portugal,2.2,0,0,3,4,MF,201,7,3.1818181818181817,0,0.0,Higher defensive activity
Manuel Ugarte,uy Uruguay,2.0,0,0,3,1,MF,184,4,2.0,0,0.0,Higher defensive activity
Yazan Al-Arab,jo Jordan,3.0,1,0,11,1,DF,270,12,4.0,1,0.3333333333333333,Higher defensive activity
Lucas Bergvall,se Sweden,2.0,1,0,2,2,MF,181,4,2.0,1,0.5,Higher defensive activity
Mohannad Abu Taha,jo Jordan,2.9,1,0,6,2,DF,264,8,2.7586206896551726,1,0.3448275862068966,Higher defensive activity
Deiver Machado,co Colombia,1.0,0,0,2,0,DF,90,2,2.0,0,0.0,Higher defensive activity
Willy Semedo,cv Cabo Verde,1.5,0,0,3,0,FW,131,3,2.0,0,0.0,Higher defensive activity
Darwin Núñez,uy Uruguay,1.7,0,0,2,1,FW,156,3,1.7647058823529411,0,0.0,Higher defensive activity
Mohamed Kanno,sa Saudi Arabia,2.5,1,0,2,4,MF,225,6,2.4,1,0.4,Higher defensive activity
Patrick Berg,no Norway,4.9,1,0,2,7,MF,445,9,1.8367346938775508,1,0.2040816326530612,Higher defensive activity
Josip Stanišić,hr Croatia,4.0,0,0,5,2,DFMF,360,7,1.75,0,0.0,Higher defensive activity
Pico,cv Cabo Verde,4.3,0,0,7,5,DF,390,12,2.7906976744186047,0,0.0,Higher defensive activity
Bekhruz Karimov,uz Uzbekistan,2.0,0,0,3,5,DF,179,8,4.0,0,0.0,Higher defensive activity
Pedro Porro,es Spain,6.3,0,0,8,11,DF,563,19,3.015873015873016,0,0.0,Higher defensive activity
Júnior Alonso,py Paraguay,4.3,1,0,4,9,DF,390,13,3.0232558139534884,1,0.23255813953488372,Higher defensive activity
Pape Gueye,sn Senegal,2.6,1,0,4,1,MF,234,5,1.923076923076923,1,0.3846153846153846,Higher defensive activity
Leandro Paredes,ar Argentina,5.3,2,0,5,6,MF,473,11,2.0754716981132075,2,0.37735849056603776,Higher defensive activity
Anass Salah-Eddine,ma Morocco,2.4,0,0,0,5,DF,212,5,2.0833333333333335,0,0.0,Higher defensive activity
Merchas Doski,iq Iraq,3.0,1,0,6,9,DF,270,15,5.0,1,0.3333333333333333,Higher defensive activity
Miles Robinson,us USA,1.0,0,0,1,1,DF,90,2,2.0,0,0.0,Higher defensive activity
İsmail Yüksek,tr Türkiye,1.5,0,0,2,5,MF,139,7,4.666666666666667,0,0.0,Higher defensive activity
Lee Tae-seok,kr Korea Republic,1.3,0,0,0,3,MF,113,3,2.3076923076923075,0,0.0,Higher defensive activity
Julian Ryerson,no Norway,2.5,0,0,0,8,DF,223,8,3.2,0,0.0,Higher defensive activity
Maxence Lacroix,fr France,2.7,0,0,3,2,DF,241,5,1.8518518518518516,0,0.0,Higher defensive activity
Mohammad Ghorbani,ir IR Iran,1.0,0,0,2,2,MF,90,4,4.0,0,0.0,Higher defensive activity
Aurélien Tchouaméni,fr France,4.0,1,0,6,14,MF,360,20,5.0,1,0.25,Higher defensive activity
Mateo Kovačić,hr Croatia,3.0,0,0,2,3,MF,270,5,1.6666666666666667,0,0.0,Lower defensive activity
Youri Tielemans,be Belgium,5.3,0,0,2,6,MF,474,8,1.509433962264151,0,0.0,Lower defensive activity
Raúl Jiménez,mx Mexico,3.5,0,0,0,1,FW,317,1,0.2857142857142857,0,0.0,Lower defensive activity
Mario Pašalić,hr Croatia,1.4,0,0,1,1,MF,123,2,1.4285714285714286,0,0.0,Lower defensive activity
David Alaba,at Austria,3.1,0,0,4,1,DF,275,5,1.6129032258064515,0,0.0,Lower defensive activity
Dodi Lukebakio,be Belgium,1.8,0,0,0,1,MF,164,1,0.5555555555555556,0,0.0,Lower defensive activity
Ehsan Hajsafi,ir IR Iran,1.0,1,0,1,0,DF,91,1,1.0,1,1.0,Lower defensive activity
David Douděra,cz Czechia,1.0,0,0,1,0,MF,90,1,1.0,0,0.0,Lower defensive activity
